Nodes on the 9-th layer
Polyline 1, Number of points: 81
x y thickness
24.665607 1.839093 0.130372
24.165620 1.842791 0.130498
23.665636 1.846799 0.130922
23.165645 1.849692 0.131158
22.665649 1.851697 0.131489
22.165651 1.852868 0.131704
21.665652 1.854167 0.131916
21.165656 1.856111 0.131991
20.665665 1.859006 0.132262
20.165672 1.861820 0.132480
19.665680 1.864505 0.132677
19.165683 1.866088 0.132860
18.665683 1.866209 0.132853
18.165684 1.865329 0.132923
17.665691 1.862698 0.132768
17.165706 1.858832 0.132354
16.665723 1.854688 0.132060
16.165746 1.849979 0.131794
15.665779 1.844208 0.131350
15.165818 1.837994 0.130921
14.665860 1.831489 0.130389
14.165901 1.825076 0.129972
13.665933 1.819427 0.129674
13.165957 1.814533 0.129272
12.665979 1.809881 0.128783
12.165984 1.808275 0.128558
11.665987 1.809992 0.128952
11.165990 1.811699 0.129006
10.665996 1.813301 0.129788
10.166019 1.808815 0.128920
9.666031 1.805881 0.128588
9.166032 1.804933 0.128548
8.666032 1.804378 0.128756
8.166035 1.802777 0.128294
7.666036 1.802909 0.128619
7.166036 1.803402 0.128528
6.666042 1.805786 0.128760
6.166056 1.809496 0.128979
5.666073 1.813674 0.129252
5.166106 1.819228 0.129087
4.666175 1.827529 0.130364
4.166243 1.835773 0.130505
3.666318 1.844415 0.131081
3.166393 1.853073 0.131983
2.666417 1.857720 0.132224
2.166427 1.857333 0.132139
1.666639 1.843898 0.131170
1.167777 1.811407 0.131063
1.000000 1.794525 0.127793


Nodes on the 16-th layer
Polyline 1, Number of points: 84
x y thickness
42.198604 1.000000 0.206753
41.811292 1.313339 0.118812
41.360553 1.527677 0.114821
40.893154 1.705212 0.118179
40.420342 1.867315 0.130482
39.932435 1.973339 0.136222
39.434025 2.008218 0.133696
38.934173 1.999911 0.130526
38.434527 1.981164 0.130168
37.934842 1.963467 0.129342
37.435021 1.950499 0.129144
36.935069 1.943553 0.129724
36.435106 1.937653 0.128586
35.935111 1.935517 0.128827
35.435112 1.934467 0.128489
34.935114 1.935321 0.128801
34.435116 1.936884 0.128718
33.935122 1.939282 0.128686
33.435141 1.943604 0.129360
32.935159 1.947904 0.129601
32.435179 1.952336 0.129699
31.935207 1.957512 0.130687
31.435211 1.958528 0.130610
30.935219 1.955867 0.130142
30.435230 1.952530 0.130152
29.935253 1.947739 0.129618
29.435277 1.942967 0.128780
28.935280 1.941336 0.129001
28.435280 1.941157 0.128823
27.935282 1.942434 0.128807
27.435289 1.944992 0.128956
26.935303 1.948647 0.129169
26.435326 1.953483 0.129576
25.935350 1.958385 0.129760
25.435371 1.962995 0.129849
24.935390 1.967348 0.130197
24.435404 1.970993 0.130194
23.935422 1.975287 0.130646
23.435437 1.979081 0.130947
22.935445 1.981922 0.131306
22.435449 1.983819 0.131582
21.935451 1.985251 0.131784
21.435454 1.986983 0.131919
20.935460 1.989531 0.132085
20.435470 1.992685 0.132382
19.935479 1.995681 0.132623
19.435485 1.998106 0.132872
18.935486 1.999026 0.132882
18.435487 1.998800 0.132996
17.935490 1.997137 0.133018
17.435503 1.993559 0.132637
16.935523 1.989103 0.132174
16.435543 1.984575 0.132049
15.935575 1.978943 0.131612
15.435616 1.972565 0.131208
14.935663 1.965716 0.130706
14.435712 1.958688 0.130141
13.935753 1.952301 0.129817
13.435785 1.946690 0.129510
12.935813 1.941330 0.128933
12.435829 1.937563 0.128421
11.935830 1.937633 0.128567
11.435835 1.939731 0.128953
10.935841 1.942278 0.129841
10.435851 1.941127 0.129886
9.935882 1.935692 0.128226
9.435884 1.934772 0.129327
8.935886 1.933208 0.128530
8.435889 1.931829 0.128187
7.935892 1.930798 0.127960
7.435893 1.931602 0.128467
6.935896 1.933100 0.128599
6.435908 1.936459 0.128962
5.935924 1.940441 0.129017
5.435947 1.945193 0.128955
4.936007 1.952820 0.129753
4.436088 1.961805 0.130464
3.936159 1.970218 0.130448
3.436261 1.980286 0.131867
2.936317 1.987578 0.132361
2.436329 1.990528 0.132986
1.936403 1.983608 0.132410
1.436931 1.961292 0.132075
1.000000 1.922755 0.127585


Nodes on the 17-th layer
Polyline 1, Number of points: 85
x y thickness
42.250000 1.089939 0.102248
41.861331 1.401518 0.101388
41.413719 1.622173 0.108170
40.949601 1.808112 0.116238
40.479746 1.978755 0.124682
39.993448 2.093019 0.129907
39.495478 2.135280 0.131042
38.995569 2.130444 0.129495
38.495853 2.113612 0.130056
37.996188 2.095349 0.129628
37.496387 2.081581 0.129446
36.996448 2.073811 0.129393
36.496495 2.067122 0.128736
35.996500 2.064727 0.128946
35.496503 2.063245 0.128648
34.996504 2.063981 0.128765
34.496505 2.065323 0.128630
33.996512 2.067800 0.128811
33.496532 2.072298 0.129220
32.996553 2.076859 0.129479
32.496575 2.081560 0.129763
31.996603 2.086855 0.129972
31.496610 2.088957 0.130554
30.996617 2.086471 0.130276
30.496630 2.082857 0.129914
29.996654 2.078045 0.129712
29.496684 2.072579 0.129020
28.996689 2.070608 0.129071
28.496689 2.070204 0.129025
27.996690 2.071325 0.129047
27.496698 2.074030 0.129351
26.996713 2.077873 0.129671
26.496738 2.082897 0.130002
25.996765 2.088119 0.130331
25.496789 2.092962 0.130528
24.996812 2.097801 0.130983
24.496828 2.101775 0.131227
23.996848 2.106286 0.131522
23.496866 2.110460 0.131842
22.996876 2.113694 0.132119
22.496881 2.115766 0.132179
21.996882 2.117041 0.131965
21.496885 2.118704 0.131933
20.996892 2.121237 0.132017
20.496903 2.124666 0.132365
19.996914 2.127939 0.132624
19.496921 2.130582 0.132772
18.996923 2.131692 0.132779
18.496923 2.131631 0.132804
17.996925 2.130210 0.132868
17.496938 2.126674 0.132671
16.996962 2.121777 0.132121
16.496984 2.117040 0.131903
15.997018 2.111261 0.131618
15.497062 2.104607 0.131247
14.997114 2.097398 0.130828
14.497171 2.089856 0.130291
13.997218 2.082968 0.129872
13.497255 2.076951 0.129563
12.997289 2.071077 0.129080
12.497308 2.066831 0.128801
11.997309 2.066235 0.128610
11.497314 2.068455 0.128981
10.997323 2.071374 0.129407
10.497328 2.071113 0.129844
9.997366 2.064887 0.128518
9.497368 2.063797 0.128912
8.997372 2.061833 0.128433
8.497374 2.060649 0.128650
7.997379 2.058839 0.127914
7.497382 2.060111 0.128608
6.997384 2.061309 0.128393
6.497398 2.065003 0.128954
5.997412 2.068671 0.128715
5.497440 2.073968 0.129354
4.997495 2.081331 0.129434
4.497589 2.091009 0.130288
3.997661 2.099508 0.130306
3.497788 2.110730 0.131656
2.997853 2.118583 0.131888
2.497868 2.122418 0.132251
1.997925 2.116102 0.131630
1.498390 2.094812 0.130644
1.000390 2.051096 0.127810
1.000000 2.051054 0.127803


Nodes on the 18-th layer
Polyline 1, Number of points: 85
x y thickness
42.445746 1.000000 0.215419
42.099972 1.358484 0.115689
41.675537 1.619095 0.113004
41.218347 1.821364 0.112247
40.755418 2.010248 0.123706
40.279520 2.162589 0.133161
39.786665 2.243746 0.132701
39.287344 2.264332 0.131059
38.787509 2.252375 0.128866
38.287763 2.236562 0.130468
37.788100 2.218278 0.128612
37.288203 2.208355 0.129994
36.788287 2.199230 0.128192
36.288306 2.195270 0.129144
35.788312 2.192783 0.128672
35.288314 2.192308 0.128757
34.788314 2.193090 0.128550
34.288318 2.194895 0.128539
33.788332 2.198572 0.128894
33.288358 2.203681 0.129478
32.788380 2.208392 0.129570
32.288405 2.213393 0.129622
31.788429 2.218208 0.130476
31.288432 2.218565 0.130641
30.788445 2.214944 0.129974
30.288462 2.210838 0.129978
29.788497 2.204969 0.129192
29.288516 2.200709 0.128950
28.788518 2.199564 0.129124
28.288518 2.199679 0.129008
27.788523 2.201831 0.129378
27.288536 2.205380 0.129747
26.788558 2.210051 0.130081
26.288588 2.215520 0.130442
25.788616 2.220839 0.130697
25.288643 2.226015 0.131032
24.788667 2.230861 0.131402
24.288686 2.235228 0.131570
23.788708 2.239990 0.131962
23.288724 2.243937 0.132128
22.788733 2.246963 0.132405
22.288736 2.248420 0.132122
21.788737 2.249648 0.131914
21.288741 2.251620 0.131860
20.788752 2.254837 0.132170
20.288765 2.258524 0.132493
19.788776 2.261817 0.132776
